name,runs,ballsFaced,fours,sixes,boundary_count,strike_rate,hitter_value
S Dhawan,6617.0,5203.0,750.0,148.0,898.0,127.17662886796079,4.740471458773785
DA Warner,6397.0,4572.0,646.0,226.0,872.0,139.91688538932632,4.693542869641295
V Kohli,7263.0,5586.0,643.0,234.0,877.0,130.02148227712138,4.661618152524168
RG Sharma,6211.0,4776.0,554.0,257.0,811.0,130.04606365159128,4.364753350083752
CH Gayle,4965.0,3333.0,404.0,357.0,761.0,148.96489648964896,4.2438069306930695
SK Raina,5528.0,4043.0,506.0,203.0,709.0,136.73015087806084,3.942515829829335
AB de Villiers,5162.0,3403.0,413.0,251.0,664.0,151.68968557155452,3.82229327064355
RV Uthappa,4952.0,3799.0,481.0,182.0,663.0,130.35009212950777,3.700425506712293
MS Dhoni,5082.0,3739.0,349.0,239.0,588.0,135.91869483819204,3.3935528216100566
KD Karthik,4516.0,3403.0,439.0,139.0,578.0,132.70643549808992,3.330885395239495
